x,y,z,TaxaID
-9.362683783643712,-2.9928021903452575,0.024180543564393312,A751Fang
-9.355568563480931,-3.008906952327119,0.011497367705597509,B31Tsogo
-9.354165411081656,-3.0040977019308968,-0.0012478749616916533,B735Teke
-9.3545239430901,-2.97944084218088,0.008899467739585182,K11Ciokwe
-9.374908040076816,-2.9786438152288026,0.01252850034989369,L42Kaonde
-9.354713998784687,-2.978344527437013,0.013588384549950663,M42Bemba
138.37479402615568,-0.5423089839872863,-0.1582722659209696,M52Lala
-9.361575055994598,-2.973326735551287,0.014527676355085277,N212Tumbuka
-9.360975873608199,-2.9807936263658417,0.0018195700716105822,N31bCewa
-9.36448414753367,-2.9827409709865598,0.01028620336645352,R111Umbundu
-9.350567641403664,-2.98507740383658,0.016626462648148214,R31Herero
-9.356586645068484,-2.970459598914836,0.018710639998445272,S31Tswana
-7.323015504542778,42.31117148750097,-0.020024932074648394,S33Sotho
-9.35809134958297,-2.977820212900466,0.016862391394445196,S34Lozi
-9.375027352087002,-2.9758753826961835,0.024918052244504173,S44Ndebele
-9.367906716176549,-2.9805325428119236,0.005099812969228356,S45Ngoni
